Composer First Name,Composer Last Name,Arranger,Title,Grade,Instrumentation,Performance History,Notes,Collection,Theme,
,,,A Holly Jolly Christmas,1,,,,EE Green Book,Winter,
,,,A Vivaldi School Year,1.5,n/a,Fall 2019 (Int.),,,,
,,,An Irish Party in Third Class,2,n/a,Fall 2019 (Adv.),,,,
,,,Apollo 13 (end credits),1.5,,,,EE Purple Book,,
,,,Arkansas Traveler,2,,Fall 2015 (Int.),,,,
,,,Bebopin Strings,3,"Acoustic Bass, Piano, Electric Guitar, Drum Set",,,,,
,,,Believe (Polar Express),1,Piano acc,Fall 2019 (4/5),,,Winter,
,,,Blue Bells of Scotland,0.5,2 parts,,,EE Red Book,,
,,,Botany Bay,1,2 parts,,,EE Red Book,,
,,,Bottle Pop Round ,1,,Spring 2019 (MS Int.),,,,
,,,Buffalo Gals,0.5,2 parts,,,EE Red Book,,
,,,Can You Feel the Love Tonight,2.5,,2015-2016,,,,
,Traditional,,Chanukah,0.5,2 parts,,,EE Red Book,,
,,,Chariots of Fire,1.5,,,,EE Purple Book,,
,,,Cielito Lindo,0.5,2 parts,,,EE Red Book,,
,,,City of Stars,3,"Trio (VLN, VLA, CL)",Fall 2019 (US),,,,
,,,Collection of Easy Songs for 4/5,0.5,,Fall 2018 (4/5),,,,
,,,Danny Boy,2,,,,Celtic Book,,
,,,Dragonhunter,1,,Spring 2018 (int.),,,,
,,,El Gato Pizzicato,1,,Spring 2017 (4/5),,,,
,,,Forest Gump,1.5,,Fall 2021 (Int),,EE Purple Book,,
,,,French Folk Life,0.5,2 parts,,,EE Red Book,,
,,,French Folk Life,0.5,,Spring 2021 (4/5),Fantastic beginner piece.  Students loved it.,,,
,,,Friday Night Polka,0.5,2 parts,,,EE Red Book,,
,,,Frosty the Snow Man,1,,,,EE Green Book,Winter,
,,,"Fun, Fun, Fun",1,,,,First Year Pops Book,,
,,,Galaxis,0.5,,Fall 2020 (Int.),,,,
,,,Game of Thrones (DUET),2,,Fall 2019 (US),,,,
,,,Garry Owen- merrily Kiss the Quaker,3,,Fall 2020 (US),,Celtic Book,,
,,,Georgia On My Mind,1.5,,,,First Year Pops Book,,
,,,Gloria in Excelsis Deo,2.5,,Fall 2021 (Adv.),,,Winter,
,,,Going for Gold,1,,Spring 2017,,,,
,,,Guilderoy Red-Haired Boy,3,,,,Celtic Book,,
John,Williams,,Harry Potter (themes from),1.5,"Key change F Major to D Major, lots of accidentals",Spring 2021 (MS. Adv),,,,
,,,Harvest Home,3,,,,Celtic Book,,
,,,Have Yourself A Merry Little Christmas,1,,,,First Year Pops Book,Winter,
,,,Haydn Rocks,0.5,,Spring 2020 (4/5),"Good piece, very repetitive.  Needs to be played quickly.",,,
,,,Herb Rounds,1,,Fall 2020 (Int.),,,,
,,,Here Comes the Sun,3,"Trio (VLN, VLA, CL)",Fall 2019 (US),,,,
,,,Howl ,5,"Narrator (poem ""Howl"")",,,,,
,,,Indie 500,2,,Spring 2019 (Adv),,,,
,,,Irish Washerwoman,3,,Fall 2020 (US),,Celtic Book,,
,,,Jingle Bell Rock,1,,Fall 2021 (4/5),,EE Green Book,Winter,They played a modified version of this piece.
,,,Jingle Bells,0.5,,,,EE Green Book,Winter,
,,,Jingli Nona,0.5,2 parts,,,EE Red Book,,
,,,Joy to the World,1.5,,,,First Year Pops Book,Winter,
,,,Kookabura,0.5,,Fall 2019 (4/5),,,,
,,,Let it Snow,1,,,,EE Green Book,Winter,
,,,Linus and Lucy,1.5,,2018?,,First Year Pops Book,,
,,,Little Spanish Suite for Strings,1.5,,,,,,
,,,London Bridge,0.5,2 parts,Fall 2020 (4th),,EE Red Book,,
,,,"Long, Long Ago",0.5,2 parts,,,EE Red Book,,
,,,Lost in Emotions,3,TRIO PIECE,,,,,
,,,Ludwig's Tango,2,"Piano acc (Needed), percussion: maracas, claves",Spring 2021 (MS: Adv),,,,
,,,Lullaby,0.5,2 parts,,,EE Red Book,,
,,,Mama Paquita,1.5,,,,,,
,,,Melody on two notes and whistling kettle,1,,Fall 2016,,,,
,,,Michael Row the Boat Ashore,0.5,2 parts,,,EE Red Book,,
,,,Minuet  ,1,2 parts,,,EE Red Book,,
,,,Minuet (Telemann),1.5,,,,,,
,,,Miss McLeod's Reel,3,,,,Celtic Book,,
,,,Mission: Impossible Theme,2,,,,EE Purple Book,,
,,,Monday's Melody,1,2 parts,,,EE Red Book,,
,,,Music for Four: vol. 1 Classical,3,"NEED parts 2,3, 4",,,,,
,,,Music for Three vol. 8 Classical,3,"NEED part 3 (cello); Have violin 1, violin 2/viola, cello",,,,,
,,,Ninja,1,"Vocal ""sound effects""",Spring 2021 (Int.),Students did not like vocal sound effects.  ,,,
,,,North Pole Workshop,1.5,"Percussion (optional): woodblock, triangle, cowbell, powerdrill",Fall 2021 (Int.),,,Winter,
,,,Ode to Joy,0.5,2 parts,,,EE Red Book,Winter,
,,,"One Hand, One Heart",2.5,,,,,,
,,,Over the Rainbow,1.5,Piano accompaniment,,Students vehemently dislike this piece,First Year Pops Book,,
,,,Over the Rainbow,2.5,Piano accompaniment,,Students vehemently dislike this piece,,,
